term,frequency
chicken,18517
cheese,13455
beef,13024
cream,12474
sauce,11033
pork,10983
juice,10940
diced,9524
potato,9392
green,9131
beans,8630
tomato,8553
pie,8412
corn,8088
apple,7668
bread,7534
sausage,7369
turkey,6454
sugar,6388
onion,6269
rice,6213
bacon,6195
mix,5813
egg,5806
bean,5555
fruit,5533
orange,5527
cake,5479
salad,5414
ham,5381
paper,5184
brown,5112
garlic,5105
lemon,5007
pepper,4728
milk,4680
honey,4634
butter,4605
roll,4540
base,4529
meatballs,4111
broccoli,4104
french,4028
red,3990
banana,3984
gravy,3976
cranberry,3975
sliced,3902
patty,3876
water,3854
italian,3853
ground,3787
oil,3750
tea,3739
peas,3710
steak,3682
pudding,3642
biscuit,3639
sour,3635
nectar,3626
cottage,3590
potatoes,3522
powder,3489
soup,3432
tuna,3429
spinach,3396
peaches,3369
toast,3352
chocolate,3342
sweet,3336
creamer,3335
roast,3306
carrots,3291
oatmeal,3205
pineapple,3142
carrot,3139
bbc,3121
vanilla,3097
muffin,3061
peanut,3054
ranch,3000
cabbage,2992
hot,2983
cups,2978
pancake,2967
jelly,2924
loin,2920
mandarin,2907
dressing,2893
mayo,2871
cocktail,2870
peach,2867
topping,2835
tomatoes,2833
strawberry,2814
yellow,2774
lettuce,2738
yogurt,2717
cup,2717
white,2708
flour,2706
breast,2706
chips,2696
pot,2658
baked,2650
cucumber,2598
ketchup,2568
mustard,2563
coffee,2544
cauliflower,2526
raisin,2485
marinara,2481
applesauce,2478
liquid,2467
cherry,2465
eggs,2455
pizza,2455
bun,2430
pears,2430
zucchini,2358
pan,2349
brownie,2348
sherbet,2327
celery,2326
black,2303
copy,2299
vegetable,2297
rolls,2288
hamburger,2286
ravioli,2278
tilapia,2256
shell,2251
capri,2247
wash,2209
chop,2203
oranges,2193
syrup,2187
brussel,2179
spaghetti,2167
fish,2144
tartar,2122
wipes,2096
cinnamon,2094
salisbury,2062
squash,2056
fresh,2043
stew,2010
croissant,2003
shrimp,1958
salmon,1950
spoons,1949
cornbread,1912
shredded,1903
blend,1878
napkins,1864
dice,1863
english,1860
ice,1850
salt,1845
prune,1841
chip,1822
meets,1815
wheat,1783
watermelon,1779
noodle,1775
lemonade,1770
macaroni,1743
napkin,1731
veg,1731
grape,1727
relish,1724
danish,1722
crab,1713
pea,1701
mashed,1693
cheddar,1692
tropical,1684
bleach,1676
dinner,1670
yams,1662
foil,1660
swiss,1648
apples,1632
foam,1628
lancets,1621
pinto,1621
whipped,1610
pear,1608
tissue,1598
lima,1597
straws,1564
crackers,1554
lasagna,1549
mushroom,1543
gloves,1509
bran,1501
graham,1484
oz,1473
alcohol,1473
asparagus,1472
creampie,1471
pecan,1469
american,1461
fry,1455
grits,1443
margarine,1419
yam,1407
cracker,1388
liner,1373
pumpkin,1370
heavy,1368
omelet,1368
tape,1368
baby,1363
peppers,1358
blueberry,1349
chili,1342
cod,1337
strawberries,1334
meat,1331
pulled,1320
dog,1320
pasta,1319
tender,1312
waffle,1298
slice,1294
pancakes,1290
salsa,1284
grapes,1280
vitamin,1278
country,1273
onions,1271
greens,1271
sauerkraut,1256
tortilla,1251
whip,1246
noodles,1243
coleslaw,1239
burger,1237
mixed,1225
stewed,1223
tenders,1209
saline,1207
parsley,1203
biscuits,1188
spoon,1182
levity,1180
icecream,1175
pam,1172
bag,1172
okra,1170
thigh,1148
hash,1145
towels,1139
seasoning,1139
bananas,1133
thickened,1129
med,1119
flakes,1109
later,1107
vinegar,1100
cookie,1097
blue,1085
bags,1084
collard,1083
strips,1082
power,1078
vegetables,1071
sanitized,1060
sprouts,1057
texas,1046
elbow,1027
angel,1020
pill,1017
half,1008
hoagie,1002
breadstick,1000
pound,986
jam,980
cobbler,973
parmesan,972
coconut,970
tom,966
solid,959
stuffed,957
cocoa,956
glucerna,954
cheesecake,951
rib,950
spray,947
cucumbers,945
hashbrown,943
polish,935
melatonin,928
towel,922
toilet,922
moz,915
puree,913
pollock,912
pickle,912
buns,912
razors,899
soy,897
mozzarella,897
hair,894
catfish,892
shampoo,889
shells,888
coating,887
rings,887
miti,886
lotion,884
link,883
basin,880
dough,873
leaf,865
straw,862
waffles,862
pads,854
hand,854
chops,854
philly,853
cakemix,846
kleenex,841
oats,837
film,837
fritter,833
beet,824
bar,822
ordo,821
frank,819
rye,817
law,816
au,813
trash,810
punch,802
stuffing,797
romaine,794
sharps,792
cantaloupe,790
soap,788
ginger,781
fig,775
ribs,774
boston,763
lids,760
fried,759
puff,753
toothpaste,752
cheerio,752
part,745
pink,739
kielbasa,739
ring,737
gauze,735
brush,735
ofwheat,732
prep,731
v8,724
veal,721
mouthwash,719
mushrooms,716
container,715
kidney,715
stick,714
paprika,710
lime,710
liver,709
urinals,708
wild,706
liners,703
gelatin,694
silver,693
lid,691
franks,684
top,683
filling,680
starch,675
omeprazole,673
dont,671
shaving,669
piefilling,665
alfredo,664
hairnets,663
wedge,658
flounder,657
tots,655
cran,653
muffins,653
sheet,651
plastic,647
fork,647
penne,645
sprout,641
ricotta,640
cookies,640
olive,637
caesar,637
spring,633
packet,631
ferrous,630
batteries,626
pearl,625
shred,624
popcorn,623
tortellini,621
brow,617
taco,617
patties,615
cilantro,614
honeydew,613
syringe,610
pilar,609
ensure,604
fudge,604
gowns,600
corned,599
negro,597
lancet,592
cube,592
prostate,588
stir,588
dogs,587
venture,586
knife,585
bologna,578
magic,575
plate,574
frosted,573
tray,573
pens,573
fajita,572
refried,571
cali,568
plates,567
manicotti,565
brisket,564
sulfate,564
sheets,555
ore,553
turnip,552
three,550
mucinex,549
links,548
insulin,543
key,542
gratin,542
urinal,541
frozen,538
mash,536
wax,535
bell,535
cereal,534
food,533
calcium,533
tissues,531
c,531
razor,530
scalloped,528
oriental,528
mac,526
senna,525
wound,525
marshmallow,524
brock,523
hush,521
basil,520
dreaded,520
ale,519
pit,517
pickles,514
ozcups,511
butterscotch,510
lemons,509
cleanser,509
pimentos,507
thick,507
deaf,505
wedges,505
friedsteak,505
cornmeal,504
nuggets,504
eclair,497
packets,497
oat,496
clorox,496
ucc,496
loratadine,495
dreamers,494
meal,493
clam,493
diet,492
ofmushroom,489
syringes,487
tenderloin,481
smoked,478
wafer,478
rinse,478
test,476
abd,475
skin,473
tears,471
choc,470
tapioca,468
granulated,465
crumbs,465
bratwurst,463
placemat,459
ultra,459
buttermilk,458
farina,455
glove,454
loperamide,452
zinc,452
acidophilus,452
round,450
split,450
kale,449
grit,449
tart,447
cannula,446
sticks,443
shake,442
winter,441
cumin,440
drain,440
nasal,439
foodcake,438
osmolite,434
icing,433
crust,432
detergent,429
antifungal,429
animal,428
mask,427
fries,427
bowl,426
paste,425
snap,424
babel,423
season,422
oxide,420
noodlesoup,418
nugget,417
melon,416
aspirin,416
kerlix,415
sponge,412
blueberries,411
raspberry,411
hushpuppies,409
assure,408
thighs,404
whole,403
hard,402
brussels,402
tot,399
apron,398
famotidine,396
glucose,396
can,395
cutlery,394
hcs00350,392
folders,391
deodorant,388
polyethylene,388
bed,387
teriyaki,386
avocado,384
don'ts,384
splenda,384
large,383
xl,381
enchilada,381
aaa,380
hashbrowns,380
aa,379
bath,379
cornstarch,378
ranitidine,378
beansalad,378
leg,372
mouth,372
dawn,370
cola,370
forks,370
iron,368
flat,366
crumb,366
mph1550,365
kiwi,364
wrap,364
magnesium,364
granola,363
fantastic,362
strip,361
beer,357
toothbrush,357
sodium,357
out,356
pvc512,355
juven,355
pretzels,355
shortening,353
zyrtec,352
pvc513,351
iceberg,350
mds090735,350
non042001,349
krispies,349
caramel,348
thyme,346
yeast,345
tylenol,344
grapefruit,343
barrier,343
benadryl,343
way,342
saltires,342
b12,342
biofreeze,341
spanish,340
flake,339
mayonnaise,336
dry,336
pass,336
ofchicken,334
medium,333
eggplant,333
triple,330
dynd70642,329
butternut,328
ozcup,327
pad,326
tips,326
shave,325
and,324
cherries,324
d3,323
dumpling,323
clear,322
grilled,322
almond,322
navy,322
ointment,321
net,321
andhalf,321
drink,320
miralax,320
panto,319
ibuprofen,318
pouch,316
nebuliser,315
pastry,315
boiled,314
sub,312
cornflakes,311
hcs4485,311
mango,310
rotini,309
bars,309
dogbun,309
oyster,308
cordon,308
naproxen,307
scissors,306
coke,305
grill,304
spag,304
humidifier,303
it,303
isolation,302
pesto,301
mini,301
pepperoni,301
greenbeans,301
guard,300
label,300
feta,299
optifoam,299
coco,298
labels,298
pearls,297
marg,297
hydrocortisone,297
sharp,297
wafers,297
kit,296
mint,296
free,296
idaho,295
distilled,295
protectors,295
dill,294
sani,293
stapler,293
prunes,291
eye,291
rosemary,290
burgers,289
baking,288
buffet,288
puffs,287
nonpc1000,287
salami,286
claritin,286
island,286
root,283
cleaner,283
fryer,283
bulk,282
cloth,282
harpies,282
autoshield,281
montreal,280
provolone,279
california,279
meringue,279
vital,278
on,276
sharpe,274
mousse,272
cakes,271
blackberry,270
underpass,270
slices,269
bake,268
club,267
crowder,267
crusher,267
lactose,265
calazime,264
northern,263
haddock,262
acid,262
basins,262
pack,262
spike,261
medihoney,260
raisins,259
placemats,259
croissants,259
apricot,259
butt,259
bay,258
gown,257
cuc,257
cuban,257
lentil,257
sterile,256
barley,255
cock,253
sandwich,253
hamburgers,253
containers,253
walnut,252
old,252
wings,249
tiramisu,249
balls,248
minestrone,248
extract,248
creamsandwich,248
garden,247
lamb,246
horseradish,246
sprite,245
succotash,245
lactaid,244
lorna,244
tooth,244
gel,244
breadsticks,242
cut,241
treat,241
dumplings,240
non03005,239
combs,238
breakfast,238
assorted,237
cetirizine,237
d,237
pen,236
degreaser,236
tums,236
bariatric,235
probe,235
suction,235
guest,234
olives,233
pillow,232
antibiotic,232
supplement,231
browns,231
crushed,231
mylanta,231
pine,230
silverware,230
dairy,230
dijon,230
xeroform,229
remote,229
blackeyes,228
alginate,228
prebiotic,227
sloppy,227
non243277,226
soda,226
body,226
piston,226
pouches,226
san,226
peri,225
dynd80000,225
mattress,225
twocal,224
file,224
pineapples,224
hen,224
artificial,224
dogbuns,224
thicken,223
bisacodyl,222
plus,222
cubed,221
andcarrots,221
wing,219
multivitamin,219
cornish,218
cornflake,217
skim,216
chives,216
place,215
resource,215
briefs,215
msc263754,214
scout,214
ran,214
systane,214
bacitracin,214
bowls,214
prince,212
limepie,212
comet,211
hushpuppy,211
glycol,211
inn,211
wipe,210
flank,210
chopped,209
covers,209
msc3244,208
scallop,208
cutlet,208
tip,208
preppads,208
deli,207
toasted,207
couscous,207
teaspoon,207
away,207
boost,206
pull,205
goldfish,205
track,205
fitted,205
hinged,204
hello,204
lunch,204
florastor,203
msc095060,203
shakes,202
mph3550,202
ad,202
pangasius,201
adhesive,201
walk,201
knives,200
solace,200
cole,199
aprons,199
jasmine,199
laundry,199
brat,199
nutritional,198
oregano,198
multi,197
pfng013,196
feeding,196
sponges,196
drops,196
washcloths,195
staples,195
evaporated,194
quarter,194
marsh,194
toner,193
pfng014,192
lysol,192
trout,192
hcs4514,192
broth,192
mag,192
tortillas,192
nets,192
quit,191
refresh,191
teaspoons,190
sage,190
highlighter,190
protein,189
walnuts,189
brief,189
correction,189
gallon,188
chloride,188
equal,187
folic,186
safety,185
meatloaf,185
bedpan,185
purely,185
brushes,185
ox,185
emotion,184
greenbean,184
parkerhouse,183
pv017,183
ritz,183
ribeye,183
german,183
cal,182
oasis,182
battered,182
facial,181
pv094,180
klee,180
canned,180
apricots,180
joe,180
bagels,179
boneless,179
croutons,179
nut,178
non03009,178
hp,178
needles,177
enema,177
berry,177
x4,176
floor,176
post,176
wiped,176
ss,175
anna,175
croton,175
bd,174
chef,174
cloths,173
lidocaine,172
saddle,172
mop,171
evencare,171
spear,171
washbasin,170
picante,170
creamed,170
filter,169
pastrami,169
promise,168
chic,168
prm256000,168
roasted,168
tabs,168
pang,167
van,166
rounds,166
isosource,165
cover,165
balsamic,165
hinge,164
sureprep,164
sli,164
crush,164
chick,163
mds705153,163
iced,163
ball,163
syrsi101292,162
prm25865,161
thermometer,161
scotch,161
end,160
dawkins,160
buttercrackers,160
andsour,160
msc1500,159
non256000,158
collars,158
barbecue,158
mat,158
medplus,157
pickled,157
lays,157
guacamole,157
sysco,156
check,156
orangejuice,156
s,156
radish,155
nail,155
dync1820,155
soupbase,155
slider,154
nutty,154
washcloth,154
tumbler,154
shed,153
bank,153
underpaid,153
ruc,153
comb,153
brownies,153
pattie,153
roastbeef,153
potatopie,153
velvet,152
prm21408c,151
